Especies;n
Allophylus edulis;1
Allophylus guaraniticus;1
Annona rugulosa;7
Araucaria angustifolia;48
Banara tomentosa;8
Blepharocalyx salicifolius;3
Calyptranthes concinna;24
Campomanesia xanthocarpa;2
Casearia decandra;49
Casearia obliqua;18
Cedrela fissilis;7
Celtis iguanaea;2
Cinnamomum amoenum;3
Clethra scabra;2
Coutarea hexandra;2
Cupania vernalis;8
Dasyphyllum spinescens;4
Dasyphyllum tomentosum;8
Drimys brasiliensis;14
Duranta vestita;13
Erythroxylum deciduum;1
Eugenia pluriflora;18
Gochnatia polymorpha;5
Ilex dumosa;2
Ilex theezans;8
Jacaranda puberula;75
Lamanonia ternata;4
Lithraea brasiliensis;29
Machaerium paraguariense;1
Matayba elaeagnoides;8
Maytenus dasyclada;1
Myrceugenia myrcioides;1
Myrceugenia oxysepala;1
Myrcia guianensis;4
Myrcia hatschbachii;5
Myrcia laruotteana;5
Myrcia palustris;6
Myrcianthes gigantea;1
Myrciaria ;1
Myrrhinium atropurpureum;1
Myrsine coriacea;5
Myrsine sp.;1
Myrsine umbellata;29
Ocotea pulchella;10
Piptocarpha angustifolia;1
Podocarpus lambertii;23
Prunus myrtifolia;4
Rhamnus sphaerosperma;1
Sapium glandulosum;3
Scutia buxifolia;2
Solanum pabstii;1
Solanum sanctaecatharinae;12
Symplocos uniflora;1
Vernonanthura discolor;3
Xylosma ciliatifolia;3
Xylosma tweediana;1
Zanthoxylum kleinii;11
Zanthoxylum rhoifolium;2
